State,Year,Category,CategoryScore
Alabama,2013,Care_Seeking,70.25
Alaska,2013,Care_Seeking,62.75
Arizona,2013,Care_Seeking,62.25
Arkansas,2013,Care_Seeking,72.0
California,2013,Care_Seeking,66.0
Colorado,2013,Care_Seeking,64.25
Connecticut,2013,Care_Seeking,77.0
Delaware,2013,Care_Seeking,70.75
District of Columbia,2013,Care_Seeking,68.5
Florida,2013,Care_Seeking,64.75
Georgia,2013,Care_Seeking,61.5
Hawaii,2013,Care_Seeking,66.0
Idaho,2013,Care_Seeking,65.5
Illinois,2013,Care_Seeking,58.75
Indiana,2013,Care_Seeking,60.5
Iowa,2013,Care_Seeking,61.5
Kansas,2013,Care_Seeking,62.0
Kentucky,2013,Care_Seeking,67.75
Louisiana,2013,Care_Seeking,84.5
Maine,2013,Care_Seeking,69.0
Maryland,2013,Care_Seeking,79.25
Massachusetts,2013,Care_Seeking,69.25
Michigan,2013,Care_Seeking,64.5
Minnesota,2013,Care_Seeking,79.5
Mississippi,2013,Care_Seeking,70.75
Missouri,2013,Care_Seeking,62.5
Montana,2013,Care_Seeking,79.25
Nebraska,2013,Care_Seeking,65.0
Nevada,2013,Care_Seeking,69.0
New Hampshire,2013,Care_Seeking,65.0
New Jersey,2013,Care_Seeking,71.75
New Mexico,2013,Care_Seeking,67.25
New York,2013,Care_Seeking,80.5
North Carolina,2013,Care_Seeking,68.75
North Dakota,2013,Care_Seeking,68.25
Ohio,2013,Care_Seeking,59.75
Oklahoma,2013,Care_Seeking,65.5
Oregon,2013,Care_Seeking,44.75
Pennsylvania,2013,Care_Seeking,72.5
Rhode Island,2013,Care_Seeking,68.75
South Carolina,2013,Care_Seeking,71.0
South Dakota,2013,Care_Seeking,62.0
Tennessee,2013,Care_Seeking,70.25
Texas,2013,Care_Seeking,60.75
Utah,2013,Care_Seeking,73.75
Vermont,2013,Care_Seeking,72.75
Virginia,2013,Care_Seeking,65.75
Washington,2013,Care_Seeking,67.5
West Virginia,2013,Care_Seeking,72.5
Wisconsin,2013,Care_Seeking,64.0
Wyoming,2013,Care_Seeking,56.0
Alabama,2013,Economic_Hardship,68.75
Alaska,2013,Economic_Hardship,60.0
Arizona,2013,Economic_Hardship,61.75
Arkansas,2013,Economic_Hardship,57.75
California,2013,Economic_Hardship,42.75
Colorado,2013,Economic_Hardship,61.0
Connecticut,2013,Economic_Hardship,49.5
Delaware,2013,Economic_Hardship,59.5
District of Columbia,2013,Economic_Hardship,65.25
Florida,2013,Economic_Hardship,69.25
Georgia,2013,Economic_Hardship,64.25
Hawaii,2013,Economic_Hardship,43.75
Idaho,2013,Economic_Hardship,67.75
Illinois,2013,Economic_Hardship,55.25
Indiana,2013,Economic_Hardship,74.0
Iowa,2013,Economic_Hardship,54.5
Kansas,2013,Economic_Hardship,62.0
Kentucky,2013,Economic_Hardship,65.25
Louisiana,2013,Economic_Hardship,62.25
Maine,2013,Economic_Hardship,49.75
Maryland,2013,Economic_Hardship,62.25
Massachusetts,2013,Economic_Hardship,47.5
Michigan,2013,Economic_Hardship,59.5
Minnesota,2013,Economic_Hardship,55.0
Mississippi,2013,Economic_Hardship,61.5
Missouri,2013,Economic_Hardship,66.5
Montana,2013,Economic_Hardship,65.75
Nebraska,2013,Economic_Hardship,56.75
Nevada,2013,Economic_Hardship,75.0
New Hampshire,2013,Economic_Hardship,51.0
New Jersey,2013,Economic_Hardship,61.0
New Mexico,2013,Economic_Hardship,59.0
New York,2013,Economic_Hardship,62.25
North Carolina,2013,Economic_Hardship,60.25
North Dakota,2013,Economic_Hardship,42.5
Ohio,2013,Economic_Hardship,67.0
Oklahoma,2013,Economic_Hardship,56.25
Oregon,2013,Economic_Hardship,47.25
Pennsylvania,2013,Economic_Hardship,61.0
Rhode Island,2013,Economic_Hardship,55.5
South Carolina,2013,Economic_Hardship,58.0
South Dakota,2013,Economic_Hardship,49.25
Tennessee,2013,Economic_Hardship,64.5
Texas,2013,Economic_Hardship,53.0
Utah,2013,Economic_Hardship,60.5
Vermont,2013,Economic_Hardship,46.25
Virginia,2013,Economic_Hardship,52.25
Washington,2013,Economic_Hardship,65.25
West Virginia,2013,Economic_Hardship,54.75
Wisconsin,2013,Economic_Hardship,64.5
Wyoming,2013,Economic_Hardship,57.5
Alabama,2013,Psychological_Distress,80.25
Alaska,2013,Psychological_Distress,72.75
Arizona,2013,Psychological_Distress,65.0
Arkansas,2013,Psychological_Distress,73.0
California,2013,Psychological_Distress,64.25
Colorado,2013,Psychological_Distress,73.25
Connecticut,2013,Psychological_Distress,77.5
Delaware,2013,Psychological_Distress,72.0
District of Columbia,2013,Psychological_Distress,68.25
Florida,2013,Psychological_Distress,61.75
Georgia,2013,Psychological_Distress,64.25
Hawaii,2013,Psychological_Distress,55.5
Idaho,2013,Psychological_Distress,73.25
Illinois,2013,Psychological_Distress,70.25
Indiana,2013,Psychological_Distress,76.75
Iowa,2013,Psychological_Distress,75.5
Kansas,2013,Psychological_Distress,76.75
Kentucky,2013,Psychological_Distress,77.0
Louisiana,2013,Psychological_Distress,72.0
Maine,2013,Psychological_Distress,84.0
Maryland,2013,Psychological_Distress,76.75
Massachusetts,2013,Psychological_Distress,79.0
Michigan,2013,Psychological_Distress,76.0
Minnesota,2013,Psychological_Distress,79.25
Mississippi,2013,Psychological_Distress,79.75
Missouri,2013,Psychological_Distress,71.75
Montana,2013,Psychological_Distress,81.25
Nebraska,2013,Psychological_Distress,68.25
Nevada,2013,Psychological_Distress,66.0
New Hampshire,2013,Psychological_Distress,84.25
New Jersey,2013,Psychological_Distress,68.25
New Mexico,2013,Psychological_Distress,74.0
New York,2013,Psychological_Distress,71.25
North Carolina,2013,Psychological_Distress,74.5
North Dakota,2013,Psychological_Distress,69.25
Ohio,2013,Psychological_Distress,71.0
Oklahoma,2013,Psychological_Distress,73.0
Oregon,2013,Psychological_Distress,49.0
Pennsylvania,2013,Psychological_Distress,80.75
Rhode Island,2013,Psychological_Distress,78.0
South Carolina,2013,Psychological_Distress,75.75
South Dakota,2013,Psychological_Distress,68.25
Tennessee,2013,Psychological_Distress,75.75
Texas,2013,Psychological_Distress,61.75
Utah,2013,Psychological_Distress,72.75
Vermont,2013,Psychological_Distress,84.5
Virginia,2013,Psychological_Distress,73.0
Washington,2013,Psychological_Distress,73.5
West Virginia,2013,Psychological_Distress,87.0
Wisconsin,2013,Psychological_Distress,74.25
Wyoming,2013,Psychological_Distress,67.0
Alabama,2013,Substance_Use,59.5
Alaska,2013,Substance_Use,44.5
Arizona,2013,Substance_Use,58.25
Arkansas,2013,Substance_Use,51.75
California,2013,Substance_Use,46.5
Colorado,2013,Substance_Use,45.75
Connecticut,2013,Substance_Use,61.25
Delaware,2013,Substance_Use,57.0
District of Columbia,2013,Substance_Use,50.0
Florida,2013,Substance_Use,53.25
Georgia,2013,Substance_Use,52.75
Hawaii,2013,Substance_Use,38.75
Idaho,2013,Substance_Use,49.25
Illinois,2013,Substance_Use,47.25
Indiana,2013,Substance_Use,55.5
Iowa,2013,Substance_Use,40.0
Kansas,2013,Substance_Use,44.75
Kentucky,2013,Substance_Use,65.75
Louisiana,2013,Substance_Use,53.0
Maine,2013,Substance_Use,72.75
Maryland,2013,Substance_Use,53.75
Massachusetts,2013,Substance_Use,58.25
Michigan,2013,Substance_Use,53.75
Minnesota,2013,Substance_Use,48.5
Mississippi,2013,Substance_Use,50.75
Missouri,2013,Substance_Use,54.5
Montana,2013,Substance_Use,56.5
Nebraska,2013,Substance_Use,41.5
Nevada,2013,Substance_Use,47.75
New Hampshire,2013,Substance_Use,54.25
New Jersey,2013,Substance_Use,58.0
New Mexico,2013,Substance_Use,55.75
New York,2013,Substance_Use,48.5
North Carolina,2013,Substance_Use,59.0
North Dakota,2013,Substance_Use,44.75
Ohio,2013,Substance_Use,56.5
Oklahoma,2013,Substance_Use,51.75
Oregon,2013,Substance_Use,33.5
Pennsylvania,2013,Substance_Use,60.75
Rhode Island,2013,Substance_Use,50.25
South Carolina,2013,Substance_Use,49.0
South Dakota,2013,Substance_Use,43.5
Tennessee,2013,Substance_Use,60.75
Texas,2013,Substance_Use,43.25
Utah,2013,Substance_Use,48.75
Vermont,2013,Substance_Use,57.25
Virginia,2013,Substance_Use,49.75
Washington,2013,Substance_Use,56.5
West Virginia,2013,Substance_Use,92.75
Wisconsin,2013,Substance_Use,56.75
Wyoming,2013,Substance_Use,44.5
Alabama,2014,Care_Seeking,69.5
Alaska,2014,Care_Seeking,63.0
Arizona,2014,Care_Seeking,67.25
Arkansas,2014,Care_Seeking,68.5
California,2014,Care_Seeking,66.75
Colorado,2014,Care_Seeking,67.5
Connecticut,2014,Care_Seeking,77.75
Delaware,2014,Care_Seeking,74.5
District of Columbia,2014,Care_Seeking,64.75
Florida,2014,Care_Seeking,69.25
Georgia,2014,Care_Seeking,60.75
Hawaii,2014,Care_Seeking,64.25
Idaho,2014,Care_Seeking,67.0
Illinois,2014,Care_Seeking,64.0
Indiana,2014,Care_Seeking,62.25
Iowa,2014,Care_Seeking,63.25
Kansas,2014,Care_Seeking,58.75
Kentucky,2014,Care_Seeking,63.0
Louisiana,2014,Care_Seeking,82.25
Maine,2014,Care_Seeking,71.5
Maryland,2014,Care_Seeking,84.25
Massachusetts,2014,Care_Seeking,72.75
Michigan,2014,Care_Seeking,65.0
Minnesota,2014,Care_Seeking,80.5
Mississippi,2014,Care_Seeking,68.75
Missouri,2014,Care_Seeking,70.0
Montana,2014,Care_Seeking,84.5
Nebraska,2014,Care_Seeking,62.75
Nevada,2014,Care_Seeking,68.0
New Hampshire,2014,Care_Seeking,68.0
New Jersey,2014,Care_Seeking,75.5
New Mexico,2014,Care_Seeking,67.0
New York,2014,Care_Seeking,82.5
North Carolina,2014,Care_Seeking,66.5
North Dakota,2014,Care_Seeking,62.0
Ohio,2014,Care_Seeking,65.25
Oklahoma,2014,Care_Seeking,65.75
Oregon,2014,Care_Seeking,42.0
Pennsylvania,2014,Care_Seeking,74.5
Rhode Island,2014,Care_Seeking,71.25
South Carolina,2014,Care_Seeking,66.75
South Dakota,2014,Care_Seeking,63.5
Tennessee,2014,Care_Seeking,68.75
Texas,2014,Care_Seeking,64.0
Utah,2014,Care_Seeking,73.25
Vermont,2014,Care_Seeking,62.75
Virginia,2014,Care_Seeking,49.0
Washington,2014,Care_Seeking,72.5
West Virginia,2014,Care_Seeking,64.5
Wisconsin,2014,Care_Seeking,67.5
Wyoming,2014,Care_Seeking,66.0
Alabama,2014,Economic_Hardship,64.0
Alaska,2014,Economic_Hardship,55.5
Arizona,2014,Economic_Hardship,63.0
Arkansas,2014,Economic_Hardship,58.25
California,2014,Economic_Hardship,44.25
Colorado,2014,Economic_Hardship,60.5
Connecticut,2014,Economic_Hardship,48.75
Delaware,2014,Economic_Hardship,61.75
District of Columbia,2014,Economic_Hardship,59.5
Florida,2014,Economic_Hardship,73.75
Georgia,2014,Economic_Hardship,66.0
Hawaii,2014,Economic_Hardship,42.25
Idaho,2014,Economic_Hardship,66.75
Illinois,2014,Economic_Hardship,57.0
Indiana,2014,Economic_Hardship,70.75
Iowa,2014,Economic_Hardship,53.25
Kansas,2014,Economic_Hardship,57.5
Kentucky,2014,Economic_Hardship,63.0
Louisiana,2014,Economic_Hardship,64.25
Maine,2014,Economic_Hardship,49.75
Maryland,2014,Economic_Hardship,60.75
Massachusetts,2014,Economic_Hardship,53.25
Michigan,2014,Economic_Hardship,59.0
Minnesota,2014,Economic_Hardship,55.0
Mississippi,2014,Economic_Hardship,52.25
Missouri,2014,Economic_Hardship,70.0
Montana,2014,Economic_Hardship,62.0
Nebraska,2014,Economic_Hardship,54.75
Nevada,2014,Economic_Hardship,74.25
New Hampshire,2014,Economic_Hardship,49.75
New Jersey,2014,Economic_Hardship,62.75
New Mexico,2014,Economic_Hardship,60.25
New York,2014,Economic_Hardship,61.0
North Carolina,2014,Economic_Hardship,55.25
North Dakota,2014,Economic_Hardship,41.75
Ohio,2014,Economic_Hardship,65.5
Oklahoma,2014,Economic_Hardship,52.0
Oregon,2014,Economic_Hardship,41.5
Pennsylvania,2014,Economic_Hardship,60.75
Rhode Island,2014,Economic_Hardship,63.75
South Carolina,2014,Economic_Hardship,54.0
South Dakota,2014,Economic_Hardship,50.75
Tennessee,2014,Economic_Hardship,62.5
Texas,2014,Economic_Hardship,50.75
Utah,2014,Economic_Hardship,59.75
Vermont,2014,Economic_Hardship,46.25
Virginia,2014,Economic_Hardship,41.5
Washington,2014,Economic_Hardship,59.75
West Virginia,2014,Economic_Hardship,54.25
Wisconsin,2014,Economic_Hardship,59.5
Wyoming,2014,Economic_Hardship,54.75
Alabama,2014,Psychological_Distress,79.5
Alaska,2014,Psychological_Distress,65.5
Arizona,2014,Psychological_Distress,64.75
Arkansas,2014,Psychological_Distress,75.25
California,2014,Psychological_Distress,64.25
Colorado,2014,Psychological_Distress,73.25
Connecticut,2014,Psychological_Distress,75.25
Delaware,2014,Psychological_Distress,72.5
District of Columbia,2014,Psychological_Distress,64.75
Florida,2014,Psychological_Distress,63.75
Georgia,2014,Psychological_Distress,62.75
Hawaii,2014,Psychological_Distress,58.0
Idaho,2014,Psychological_Distress,73.0
Illinois,2014,Psychological_Distress,70.25
Indiana,2014,Psychological_Distress,75.5
Iowa,2014,Psychological_Distress,79.75
Kansas,2014,Psychological_Distress,72.75
Kentucky,2014,Psychological_Distress,75.0
Louisiana,2014,Psychological_Distress,66.0
Maine,2014,Psychological_Distress,86.25
Maryland,2014,Psychological_Distress,74.75
Massachusetts,2014,Psychological_Distress,80.5
Michigan,2014,Psychological_Distress,75.75
Minnesota,2014,Psychological_Distress,80.5
Mississippi,2014,Psychological_Distress,76.25
Missouri,2014,Psychological_Distress,71.0
Montana,2014,Psychological_Distress,75.25
Nebraska,2014,Psychological_Distress,69.25
Nevada,2014,Psychological_Distress,65.0
New Hampshire,2014,Psychological_Distress,85.25
New Jersey,2014,Psychological_Distress,67.25
New Mexico,2014,Psychological_Distress,68.75
New York,2014,Psychological_Distress,70.75
North Carolina,2014,Psychological_Distress,71.75
North Dakota,2014,Psychological_Distress,67.75
Ohio,2014,Psychological_Distress,73.5
Oklahoma,2014,Psychological_Distress,68.75
Oregon,2014,Psychological_Distress,45.5
Pennsylvania,2014,Psychological_Distress,75.5
Rhode Island,2014,Psychological_Distress,75.75
South Carolina,2014,Psychological_Distress,73.25
South Dakota,2014,Psychological_Distress,71.5
Tennessee,2014,Psychological_Distress,74.75
Texas,2014,Psychological_Distress,58.0
Utah,2014,Psychological_Distress,75.0
Vermont,2014,Psychological_Distress,81.5
Virginia,2014,Psychological_Distress,52.75
Washington,2014,Psychological_Distress,71.25
West Virginia,2014,Psychological_Distress,83.75
Wisconsin,2014,Psychological_Distress,75.0
Wyoming,2014,Psychological_Distress,76.5
Alabama,2014,Substance_Use,52.75
Alaska,2014,Substance_Use,51.0
Arizona,2014,Substance_Use,56.25
Arkansas,2014,Substance_Use,52.5
California,2014,Substance_Use,49.25
Colorado,2014,Substance_Use,58.0
Connecticut,2014,Substance_Use,64.75
Delaware,2014,Substance_Use,66.25
District of Columbia,2014,Substance_Use,53.75
Florida,2014,Substance_Use,55.0
Georgia,2014,Substance_Use,54.25
Hawaii,2014,Substance_Use,39.0
Idaho,2014,Substance_Use,45.75
Illinois,2014,Substance_Use,49.5
Indiana,2014,Substance_Use,71.75
Iowa,2014,Substance_Use,39.0
Kansas,2014,Substance_Use,42.75
Kentucky,2014,Substance_Use,71.25
Louisiana,2014,Substance_Use,46.5
Maine,2014,Substance_Use,53.75
Maryland,2014,Substance_Use,63.5
Massachusetts,2014,Substance_Use,75.0
Michigan,2014,Substance_Use,58.25
Minnesota,2014,Substance_Use,53.75
Mississippi,2014,Substance_Use,49.5
Missouri,2014,Substance_Use,67.5
Montana,2014,Substance_Use,43.75
Nebraska,2014,Substance_Use,39.5
Nevada,2014,Substance_Use,48.5
New Hampshire,2014,Substance_Use,55.25
New Jersey,2014,Substance_Use,62.5
New Mexico,2014,Substance_Use,56.0
New York,2014,Substance_Use,54.5
North Carolina,2014,Substance_Use,61.0
North Dakota,2014,Substance_Use,42.25
Ohio,2014,Substance_Use,72.25
Oklahoma,2014,Substance_Use,65.5
Oregon,2014,Substance_Use,29.25
Pennsylvania,2014,Substance_Use,68.0
Rhode Island,2014,Substance_Use,55.75
South Carolina,2014,Substance_Use,70.75
South Dakota,2014,Substance_Use,44.25
Tennessee,2014,Substance_Use,64.0
Texas,2014,Substance_Use,47.0
Utah,2014,Substance_Use,66.5
Vermont,2014,Substance_Use,53.25
Virginia,2014,Substance_Use,37.75
Washington,2014,Substance_Use,59.75
West Virginia,2014,Substance_Use,57.75
Wisconsin,2014,Substance_Use,52.5
Wyoming,2014,Substance_Use,58.75
Alabama,2015,Care_Seeking,68.5
Alaska,2015,Care_Seeking,62.25
Arizona,2015,Care_Seeking,66.5
Arkansas,2015,Care_Seeking,68.5
California,2015,Care_Seeking,62.5
Colorado,2015,Care_Seeking,66.5
Connecticut,2015,Care_Seeking,76.5
Delaware,2015,Care_Seeking,67.75
District of Columbia,2015,Care_Seeking,63.5
Florida,2015,Care_Seeking,65.25
Georgia,2015,Care_Seeking,61.25
Hawaii,2015,Care_Seeking,60.25
Idaho,2015,Care_Seeking,62.25
Illinois,2015,Care_Seeking,61.75
Indiana,2015,Care_Seeking,62.0
Iowa,2015,Care_Seeking,67.5
Kansas,2015,Care_Seeking,51.5
Kentucky,2015,Care_Seeking,66.5
Louisiana,2015,Care_Seeking,82.25
Maine,2015,Care_Seeking,65.25
Maryland,2015,Care_Seeking,77.5
Massachusetts,2015,Care_Seeking,74.25
Michigan,2015,Care_Seeking,61.5
Minnesota,2015,Care_Seeking,80.5
Mississippi,2015,Care_Seeking,70.0
Missouri,2015,Care_Seeking,71.0
Montana,2015,Care_Seeking,83.25
Nebraska,2015,Care_Seeking,63.25
Nevada,2015,Care_Seeking,63.0
New Hampshire,2015,Care_Seeking,62.75
New Jersey,2015,Care_Seeking,74.75
New Mexico,2015,Care_Seeking,64.25
New York,2015,Care_Seeking,76.5
North Carolina,2015,Care_Seeking,66.25
North Dakota,2015,Care_Seeking,61.0
Ohio,2015,Care_Seeking,62.75
Oklahoma,2015,Care_Seeking,61.75
Oregon,2015,Care_Seeking,51.75
Pennsylvania,2015,Care_Seeking,75.0
Rhode Island,2015,Care_Seeking,69.25
South Carolina,2015,Care_Seeking,64.0
South Dakota,2015,Care_Seeking,63.25
Tennessee,2015,Care_Seeking,71.25
Texas,2015,Care_Seeking,62.5
Utah,2015,Care_Seeking,69.5
Vermont,2015,Care_Seeking,74.25
Virginia,2015,Care_Seeking,44.0
Washington,2015,Care_Seeking,67.0
West Virginia,2015,Care_Seeking,72.75
Wisconsin,2015,Care_Seeking,65.0
Wyoming,2015,Care_Seeking,69.75
Alabama,2015,Economic_Hardship,65.5
Alaska,2015,Economic_Hardship,56.5
Arizona,2015,Economic_Hardship,63.0
Arkansas,2015,Economic_Hardship,55.5
California,2015,Economic_Hardship,45.25
Colorado,2015,Economic_Hardship,59.25
Connecticut,2015,Economic_Hardship,50.75
Delaware,2015,Economic_Hardship,60.25
District of Columbia,2015,Economic_Hardship,60.0
Florida,2015,Economic_Hardship,64.5
Georgia,2015,Economic_Hardship,63.0
Hawaii,2015,Economic_Hardship,46.0
Idaho,2015,Economic_Hardship,61.5
Illinois,2015,Economic_Hardship,57.75
Indiana,2015,Economic_Hardship,67.0
Iowa,2015,Economic_Hardship,53.75
Kansas,2015,Economic_Hardship,47.0
Kentucky,2015,Economic_Hardship,64.0
Louisiana,2015,Economic_Hardship,68.0
Maine,2015,Economic_Hardship,48.75
Maryland,2015,Economic_Hardship,57.0
Massachusetts,2015,Economic_Hardship,50.5
Michigan,2015,Economic_Hardship,55.5
Minnesota,2015,Economic_Hardship,55.5
Mississippi,2015,Economic_Hardship,54.75
Missouri,2015,Economic_Hardship,63.5
Montana,2015,Economic_Hardship,63.25
Nebraska,2015,Economic_Hardship,53.25
Nevada,2015,Economic_Hardship,73.5
New Hampshire,2015,Economic_Hardship,49.5
New Jersey,2015,Economic_Hardship,58.0
New Mexico,2015,Economic_Hardship,56.75
New York,2015,Economic_Hardship,58.25
North Carolina,2015,Economic_Hardship,54.5
North Dakota,2015,Economic_Hardship,49.25
Ohio,2015,Economic_Hardship,63.75
Oklahoma,2015,Economic_Hardship,58.75
Oregon,2015,Economic_Hardship,52.25
Pennsylvania,2015,Economic_Hardship,59.5
Rhode Island,2015,Economic_Hardship,53.5
South Carolina,2015,Economic_Hardship,58.5
South Dakota,2015,Economic_Hardship,46.75
Tennessee,2015,Economic_Hardship,61.75
Texas,2015,Economic_Hardship,53.0
Utah,2015,Economic_Hardship,56.75
Vermont,2015,Economic_Hardship,48.5
Virginia,2015,Economic_Hardship,34.25
Washington,2015,Economic_Hardship,60.0
West Virginia,2015,Economic_Hardship,55.75
Wisconsin,2015,Economic_Hardship,59.75
Wyoming,2015,Economic_Hardship,59.25
Alabama,2015,Psychological_Distress,79.75
Alaska,2015,Psychological_Distress,71.5
Arizona,2015,Psychological_Distress,66.5
Arkansas,2015,Psychological_Distress,76.0
California,2015,Psychological_Distress,63.75
Colorado,2015,Psychological_Distress,75.0
Connecticut,2015,Psychological_Distress,77.75
Delaware,2015,Psychological_Distress,67.5
District of Columbia,2015,Psychological_Distress,66.5
Florida,2015,Psychological_Distress,60.75
Georgia,2015,Psychological_Distress,63.75
Hawaii,2015,Psychological_Distress,60.0
Idaho,2015,Psychological_Distress,74.0
Illinois,2015,Psychological_Distress,71.25
Indiana,2015,Psychological_Distress,76.75
Iowa,2015,Psychological_Distress,81.25
Kansas,2015,Psychological_Distress,63.5
Kentucky,2015,Psychological_Distress,79.0
Louisiana,2015,Psychological_Distress,72.5
Maine,2015,Psychological_Distress,85.75
Maryland,2015,Psychological_Distress,75.25
Massachusetts,2015,Psychological_Distress,77.0
Michigan,2015,Psychological_Distress,74.75
Minnesota,2015,Psychological_Distress,86.75
Mississippi,2015,Psychological_Distress,80.75
Missouri,2015,Psychological_Distress,74.25
Montana,2015,Psychological_Distress,76.0
Nebraska,2015,Psychological_Distress,69.0
Nevada,2015,Psychological_Distress,65.25
New Hampshire,2015,Psychological_Distress,82.75
New Jersey,2015,Psychological_Distress,67.25
New Mexico,2015,Psychological_Distress,70.5
New York,2015,Psychological_Distress,66.75
North Carolina,2015,Psychological_Distress,73.5
North Dakota,2015,Psychological_Distress,73.25
Ohio,2015,Psychological_Distress,74.5
Oklahoma,2015,Psychological_Distress,73.5
Oregon,2015,Psychological_Distress,61.0
Pennsylvania,2015,Psychological_Distress,73.5
Rhode Island,2015,Psychological_Distress,78.5
South Carolina,2015,Psychological_Distress,77.75
South Dakota,2015,Psychological_Distress,73.0
Tennessee,2015,Psychological_Distress,72.0
Texas,2015,Psychological_Distress,58.5
Utah,2015,Psychological_Distress,76.5
Vermont,2015,Psychological_Distress,78.75
Virginia,2015,Psychological_Distress,44.75
Washington,2015,Psychological_Distress,71.5
West Virginia,2015,Psychological_Distress,88.5
Wisconsin,2015,Psychological_Distress,77.25
Wyoming,2015,Psychological_Distress,70.5
Alabama,2015,Substance_Use,47.5
Alaska,2015,Substance_Use,43.0
Arizona,2015,Substance_Use,50.75
Arkansas,2015,Substance_Use,48.25
California,2015,Substance_Use,40.25
Colorado,2015,Substance_Use,46.5
Connecticut,2015,Substance_Use,55.5
Delaware,2015,Substance_Use,48.75
District of Columbia,2015,Substance_Use,51.5
Florida,2015,Substance_Use,45.5
Georgia,2015,Substance_Use,48.25
Hawaii,2015,Substance_Use,36.5
Idaho,2015,Substance_Use,45.5
Illinois,2015,Substance_Use,44.75
Indiana,2015,Substance_Use,54.0
Iowa,2015,Substance_Use,35.75
Kansas,2015,Substance_Use,32.75
Kentucky,2015,Substance_Use,57.5
Louisiana,2015,Substance_Use,47.5
Maine,2015,Substance_Use,46.25
Maryland,2015,Substance_Use,48.5
Massachusetts,2015,Substance_Use,68.75
Michigan,2015,Substance_Use,51.25
Minnesota,2015,Substance_Use,44.75
Mississippi,2015,Substance_Use,47.25
Missouri,2015,Substance_Use,52.0
Montana,2015,Substance_Use,42.75
Nebraska,2015,Substance_Use,37.5
Nevada,2015,Substance_Use,45.0
New Hampshire,2015,Substance_Use,71.25
New Jersey,2015,Substance_Use,48.5
New Mexico,2015,Substance_Use,50.5
New York,2015,Substance_Use,44.0
North Carolina,2015,Substance_Use,49.5
North Dakota,2015,Substance_Use,39.25
Ohio,2015,Substance_Use,57.25
Oklahoma,2015,Substance_Use,46.25
Oregon,2015,Substance_Use,37.0
Pennsylvania,2015,Substance_Use,58.5
Rhode Island,2015,Substance_Use,63.0
South Carolina,2015,Substance_Use,55.0
South Dakota,2015,Substance_Use,48.0
Tennessee,2015,Substance_Use,55.75
Texas,2015,Substance_Use,39.5
Utah,2015,Substance_Use,43.25
Vermont,2015,Substance_Use,71.25
Virginia,2015,Substance_Use,28.25
Washington,2015,Substance_Use,48.0
West Virginia,2015,Substance_Use,58.75
Wisconsin,2015,Substance_Use,44.5
